StoreID,StoreName,Disabled,Abbreviation,ManagerEmployeeID,ManagerCommissionable,Address,City,StateProv,ZipPostal,Country,PhoneNumber,FaxNumber,DistrictName,RegionName,ChannelName,StoreType,GLCode,SquareFootage,LocationCode,Latitude,Longitude,AddressVerified,TimeZone,AdjustDST,CashPolicy,MaxCashDrawer,Serial_on_OE,Phone_on_OE,PAW_on_OE,Comment_on_OE,HideCustomerAddress,EmailAddress,GeneralLocationNotes,SaleInvoiceComment,StaffLevel,BankDetails,Taxes,LeaseStartDate,LeaseEndDate,Rent,PropertyTaxes,InsuranceAmount,OtherCharges,DepositTaken,LeaseNotes,InsuranceCompany,LandlordNotes,LandlordName,RelocationDate,UseLocationEmail,LocationEntityID,DateLastStatusChanged
1184,1640 Lansdale,0,1640P,168,FALSE,1551 Valley Forge Rd,Lansdale,PA,19446,United States,2158553450,,Philly North,Liberty States Region,Northeast Market,5 Tier-PPP,1640,0,BUNHZ,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun Closed",,,,"PA - Sales Tax 6%, $1.65 E911 Fee (PA)",,,0,0,0,0,0,9/10/2015,,,SPRING-GS-LANSDALE/61380713,,TRUE,77877,2015-08-20T07:47:31.75
651,1653 South Mall,0,1653P,168,FALSE,3300 Lehigh St #502,Allentown,PA,18103,United States,6108415899,,Philly North,Liberty States Region,Northeast Market,5 Tier-PPP,1653,0,TXTAU,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-9pm, Sun 12pm-5pm",,,,"PA - Sales Tax 6%, $1.65 E911 Fee (PA)",,,0,0,0,0,0,8/7/2015,,,SPRING-GS-ALLENTOWN/61380711,,TRUE,59643,2015-06-17T16:00:56.56
565,1652 Audubon,0,1652P,168,FALSE,607 S Trooper Rd #12,Audubon,PA,19403,United States,4843702528,,Philly North,Liberty States Region,Northeast Market,5 Tier-PPP,1652,0,ENYFR,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 11am-6pm",,,,"PA - Sales Tax 6%, $1.65 E911 Fee (PA)",,,0,0,0,0,0,7/1/2015,,,SPRING-GS-AUDUBON/61380716,,TRUE,59867,
290,1006 Philadelphia Mills Mall,0,1006P,168,FALSE,1455 Franklin Mills Circle Suite 358,Philadelphia,PA,19154,United States,2156001715,,Philly North,Liberty States Region,Northeast Market,5 Tier-PPP,1006,0,PQQ3Z,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-9:30pm, Sun 11am-7pm ",,,,"PA - Sales Tax 8%, $1.65 E911 Fee (PA)",,,0,0,0,0,0,PQQ3Z,,SPRING COMMUNICATIONS - FRANKLIN MILLS M/60146748,SPRING COMMUNICATIONS - FRANKLIN MILLS M/60146748,,TRUE,29890,
1753,2142 Greensburg,0,2142I,268,FALSE,504 Greensburg Commons Ste C-6,Greensburg,IN,47240,United States,8126626312,,Indiana Central,MINKY Region,Central Market,5 Tier-PPP,2142,0,3D8QW,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 12pm-5pm",,,,"IN - Sales Tax 7%, $1.00 E911 Fee (IN)",,,0,0,0,0,0,6/1/2016,,,,,TRUE,87758,2016-05-15T21:02:54.01
1767,2156 Plymouth,0,2156M,268,FALSE,4190 Vinewood Lane N Suite 108,Plymouth,MN,55442,United States,7636946179,,Minnesota West,Northern Plains Region,Central Market,5 Tier-PPP,2156,0,UJHRR,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-8pm, Sun 11am-6pm",,,,"$.84 E911 Fee (MN), MN State 7.275%",,,0,0,0,0,0,,,,,,TRUE,87735,2016-05-15T21:04:50.283
1770,2159 Saint Louis Park,0,2159M,268,FALSE,1650 Park Place Blvd,Saint Louis Park,MN,55416,United States,6122846767,,Minnesota West,Northern Plains Region,Central Market,5 Tier-PPP,2159,0,UEUML,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 11am-6pm",,,,"$.84 E911 Fee (MN), MN State 7.275%",,,0,0,0,0,0,,,,,,TRUE,87736,2016-05-15T21:05:01.98
1725,2114 East Peoria,0,2114I,268,FALSE,306 W Washington Suite 4030,East Peoria,IL,61611,United States,3097404244,,Illinois Central,WISILLIN Region,Central Market,5 Tier-PPP,2114,0,ELPPQ,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 12pm-5pm",,,,"1.5% E911 Fee (IL), IL - Sales Tax 9.0%",,,0,0,0,0,0,6/1/2016,,,,,TRUE,86303,2016-05-15T20:58:27.65
330,446 Mason City,0,IA446,268,FALSE,4109 4th St SW Suite A,Mason City,IA,50401,United States,3193596699,,Iowa,Northern Plains Region,Central Market,5 Tier-PPP,446,0,M79TU,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun Closed",,,,IA - Sales Tax 7%,,,0,0,0,0,0,,,,SPRING COMMUNICATIONS - MASON CITY/61166520,,TRUE,29927,
1739,2128 Saint Charles,0,2128I,268,FALSE,3817 E Main St,Saint Charles,IL,60174,United States,6304852018,,Chicago West,Chicago Region,Central Market,5 Tier-PPP,2128,0,2WL6O,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-8pm, Sun Closed",,,,"1.5% E911 Fee (IL), IL - Sales Tax 8.0%",,,0,0,0,0,0,6/1/2016,,,,,TRUE,86317,2016-05-15T21:00:47.83
1724,2113 Dekalb,0,2113I,268,FALSE,2205 Sycamore Rd,Dekalb,IL,60115,United States,8157545000,,Chicago West,Chicago Region,Central Market,5 Tier-PPP,2113,0,P83VL,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 11am-6pm",,,,"1.5% E911 Fee (IL), IL - Sales Tax 8.0%",,,0,0,0,0,0,6/1/2016,,,,,TRUE,86302,2016-05-15T20:58:18.227
2197,2603 Yorktown Shopping Center,0,2603I,284,FALSE,203 Yorktown Shopping Center Suite 350,Lombard,IL,60148,United States,6305997314,,Chicago West,Chicago Region,Central Market,5 Tier-PPP,2603,2328,QMNW2,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-8pm, Sun 11am-7pm",,,,"1.5% E911 Fee (IL), IL - Sales Tax 7.0%",,,0,0,0,0,0,8/1/2016 0:00,,,,,TRUE,98971,2016-07-18T22:15:35.337
2008,2422 Preston NW Highway,0,2422T,284,FALSE,5960 W Northwest Hwy,Dallas,TX,75225,United States,2143688080,,Dallas,DFW Region,South Market,5 Tier-PPP,2422,0,53N88,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-8pm, Sun Closed",,,,"TX - Sales Tax 8.25%, 2% E911 Fee (TX)",,,0,0,0,0,0,8/1/2016 0:00,,,,,TRUE,98811,2016-07-14T15:07:28.247
524,845 Thompson Bridge Road,0,GA845,281,FALSE,3630 Thompson Bridge Rd Suite 21,Gainesville,GA,30506,United States,7702871100,,Northeast Atlanta,GA/SC Region,South Market,5 Tier-PPP,845,0,XDMHD,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Closed Sunday",,,,"$.75 E911 Fee (GA), GA - Sales Tax 7%",,,0,0,0,0,0,,,,SPRING COMMUNICATIONS - GAINESVILLE/60285437,,TRUE,36932,
525,846 Spout Springs Road,0,GA846,281,FALSE,1980 Friendship Rd Suite 101,Hoschton,GA,30548,United States,6783481611,,Northeast Atlanta,GA/SC Region,South Market,5 Tier-PPP,846,0,8YQ0M,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 9am-8pm, Sun 12pm-6pm",,,,"$.75 E911 Fee (GA), GA - Sales Tax 7%",,,0,0,0,0,0,,,,SPRING COMMUNICATIONS - FLOWERY BRANCH/60390078,,TRUE,36933,
1172,859 Sarasota Square,0,FL859,168,FALSE,8201 S Tamiami Trail Suite 32,Sarasota,FL,34238,United States,9418707081,,South Tampa,Florida Gulf Region,South Market,5 Tier-PPP,859,0,GY7FZ,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-9pm, Sun 12pm-6pm",,,,"FL - Sales Tax 7%, $.40 E911 Fee (FL)",,,0,0,0,0,0,8/26/2015,,,SPRING-GS-SARASOTA SQUARE/61384606,,TRUE,77862,2015-07-29T17:37:53.09
1598,1828 Largo,0,1828F,168,FALSE,2401 E Bay Dr Suite 3,Largo,FL,33771,United States,7275304000,,South Tampa,Florida Gulf Region,South Market,5 Tier-PPP,1828,0,3SFPW,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun Closed",,,,"FL - Sales Tax 7%, $.40 E911 Fee (FL)",,,0,0,0,0,0,12/1/2015,,,SPRING COMMUNICATIONS - LARGO/60144413,,TRUE,84638,2015-11-12T23:01:04.477
1625,1857 Harbor Bay,0,1857F,168,FALSE,607 S Ft Harrison Ave,Clearwater,FL,33756,United States,7273144604,,South Tampa,Florida Gulf Region,South Market,5 Tier-PPP,1857,0,LV62W,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun Closed",,,,"FL - Sales Tax 7%, $.40 E911 Fee (FL)",,,0,0,0,0,0,12/1/2015,,,SPRING COMMUNICATIONS - FT HARRISON AVE/61268070,,TRUE,84645,2015-11-13T22:48:25.91
